"","Session","Epoch","Electrode","Dopamine","P","Pfact","Unc","UncFact"
"1",1,3,"E1",0.028833223,1,"1",0,"0"
"2",2,3,"E1",0.133756316,1,"1",0,"0"
"3",3,3,"E1",0.062978446,1,"1",0,"0"
"4",4,3,"E1",0.110755658,1,"1",0,"0"
"5",5,3,"E1",-0.090721633,1,"1",0,"0"
"6",6,3,"E1",-0.100434367,1,"1",0,"0"
"7",1,3,"E2",0.431146384,1,"1",0,"0"
"8",2,3,"E2",0.581128316,1,"1",0,"0"
"9",3,3,"E2",0.404271067,1,"1",0,"0"
"10",4,3,"E2",0.483916535,1,"1",0,"0"
"11",5,3,"E2",0.338240247,1,"1",0,"0"
"12",6,3,"E2",0.350169787,1,"1",0,"0"
"13",1,3,"E3",0.319865689,1,"1",0,"0"
"14",2,3,"E3",0.048430537,1,"1",0,"0"
"15",3,3,"E3",-0.179658847,1,"1",0,"0"
"16",4,3,"E3",-0.045367929,1,"1",0,"0"
"17",5,3,"E3",-0.135972212,1,"1",0,"0"
"18",6,3,"E3",0.00332048,1,"1",0,"0"
"19",1,3,"E4",0.09117727,1,"1",0,"0"
"20",2,3,"E4",0.423581792,1,"1",0,"0"
"21",3,3,"E4",0.323570803,1,"1",0,"0"
"22",4,3,"E4",0.582070005,1,"1",0,"0"
"23",5,3,"E4",0.656376287,1,"1",0,"0"
"24",6,3,"E4",0.225796156,1,"1",0,"0"
"25",1,3,"E5",0.17394597,1,"1",0,"0"
"26",2,3,"E5",0.118841608,1,"1",0,"0"
"27",3,3,"E5",-0.087658379,1,"1",0,"0"
"28",4,3,"E5",0.017665559,1,"1",0,"0"
"29",5,3,"E5",-0.296536636,1,"1",0,"0"
"30",6,3,"E5",-0.004686082,1,"1",0,"0"
"31",1,3,"E1",0.014606736,0.75,"0.75",0.75,"0.75"
"32",2,3,"E1",0.409534398,0.75,"0.75",0.75,"0.75"
"33",3,3,"E1",0.453566413,0.75,"0.75",0.75,"0.75"
"34",4,3,"E1",0.275344619,0.75,"0.75",0.75,"0.75"
"35",5,3,"E1",0.386309547,0.75,"0.75",0.75,"0.75"
"36",6,3,"E1",0.108425652,0.75,"0.75",0.75,"0.75"
"37",1,3,"E2",-0.128013434,0.75,"0.75",0.75,"0.75"
"38",2,3,"E2",0.144555193,0.75,"0.75",0.75,"0.75"
"39",3,3,"E2",-0.081900432,0.75,"0.75",0.75,"0.75"
"40",4,3,"E2",0.003295484,0.75,"0.75",0.75,"0.75"
"41",5,3,"E2",0.183615129,0.75,"0.75",0.75,"0.75"
"42",6,3,"E2",0.102742154,0.75,"0.75",0.75,"0.75"
"43",1,3,"E3",-0.098593486,0.75,"0.75",0.75,"0.75"
"44",2,3,"E3",-0.077406333,0.75,"0.75",0.75,"0.75"
"45",3,3,"E3",-0.260214925,0.75,"0.75",0.75,"0.75"
"46",4,3,"E3",0.064397923,0.75,"0.75",0.75,"0.75"
"47",5,3,"E3",0.300394807,0.75,"0.75",0.75,"0.75"
"48",6,3,"E3",0.49478134,0.75,"0.75",0.75,"0.75"
"49",1,3,"E4",0.14810313,0.75,"0.75",0.75,"0.75"
"50",2,3,"E4",0.261179928,0.75,"0.75",0.75,"0.75"
"51",3,3,"E4",0.237175669,0.75,"0.75",0.75,"0.75"
"52",4,3,"E4",0.149220592,0.75,"0.75",0.75,"0.75"
"53",5,3,"E4",0.123333152,0.75,"0.75",0.75,"0.75"
"54",6,3,"E4",0.189279883,0.75,"0.75",0.75,"0.75"
"55",1,3,"E1",-0.167140372,0.5,"0.5",1,"1"
"56",2,3,"E1",-0.029538792,0.5,"0.5",1,"1"
"57",3,3,"E1",0.483065061,0.5,"0.5",1,"1"
"58",4,3,"E1",0.369062419,0.5,"0.5",1,"1"
"59",5,3,"E1",0.612898925,0.5,"0.5",1,"1"
"60",6,3,"E1",0.505777734,0.5,"0.5",1,"1"
"61",1,3,"E2",0.009844521,0.5,"0.5",1,"1"
"62",2,3,"E2",0.12594065,0.5,"0.5",1,"1"
"63",3,3,"E2",0.313641207,0.5,"0.5",1,"1"
"64",4,3,"E2",0.031862209,0.5,"0.5",1,"1"
"65",5,3,"E2",0.256348515,0.5,"0.5",1,"1"
"66",6,3,"E2",0.044792058,0.5,"0.5",1,"1"
"67",1,3,"E3",0.249127336,0.5,"0.5",1,"1"
"68",2,3,"E3",0.236662413,0.5,"0.5",1,"1"
"69",3,3,"E3",0.079076362,0.5,"0.5",1,"1"
"70",4,3,"E3",0.023628086,0.5,"0.5",1,"1"
"71",5,3,"E3",0.140105997,0.5,"0.5",1,"1"
"72",6,3,"E3",0.116192833,0.5,"0.5",1,"1"
"73",1,3,"E4",0.10627761,0.5,"0.5",1,"1"
"74",2,3,"E4",0.185449508,0.5,"0.5",1,"1"
"75",3,3,"E4",0.05673305,0.5,"0.5",1,"1"
"76",4,3,"E4",0.15990331,0.5,"0.5",1,"1"
"77",5,3,"E4",0.046999065,0.5,"0.5",1,"1"
"78",6,3,"E4",0.072906366,0.5,"0.5",1,"1"
"79",1,3,"E5",0.329296772,0.5,"0.5",1,"1"
"80",2,3,"E5",0.388926113,0.5,"0.5",1,"1"
"81",3,3,"E5",0.537420667,0.5,"0.5",1,"1"
"82",4,3,"E5",0.499380824,0.5,"0.5",1,"1"
"83",5,3,"E5",0.410421145,0.5,"0.5",1,"1"
"84",6,3,"E5",0.68183344,0.5,"0.5",1,"1"
"85",1,3,"E6",0.084471533,0.5,"0.5",1,"1"
"86",2,3,"E6",0.10556948,0.5,"0.5",1,"1"
"87",3,3,"E6",0.196019067,0.5,"0.5",1,"1"
"88",4,3,"E6",0.089704966,0.5,"0.5",1,"1"
"89",5,3,"E6",0.146993228,0.5,"0.5",1,"1"
"90",6,3,"E6",0.259679902,0.5,"0.5",1,"1"
"91",1,3,"E1",-0.119727568,0.25,"0.25",0.75,"0.75"
"92",2,3,"E1",-0.186640603,0.25,"0.25",0.75,"0.75"
"93",3,3,"E1",-0.083546955,0.25,"0.25",0.75,"0.75"
"94",4,3,"E1",0.109466001,0.25,"0.25",0.75,"0.75"
"95",5,3,"E1",0.159201332,0.25,"0.25",0.75,"0.75"
"96",6,3,"E1",0.171276556,0.25,"0.25",0.75,"0.75"
"97",1,3,"E2",-0.024687017,0.25,"0.25",0.75,"0.75"
"98",2,3,"E2",0.067854791,0.25,"0.25",0.75,"0.75"
"99",3,3,"E2",0.121952856,0.25,"0.25",0.75,"0.75"
"100",4,3,"E2",0.310744407,0.25,"0.25",0.75,"0.75"
"101",5,3,"E2",0.316618172,0.25,"0.25",0.75,"0.75"
"102",6,3,"E2",0.233445445,0.25,"0.25",0.75,"0.75"
"103",1,3,"E3",-0.004908502,0.25,"0.25",0.75,"0.75"
"104",2,3,"E3",0.017454304,0.25,"0.25",0.75,"0.75"
"105",3,3,"E3",0.119887423,0.25,"0.25",0.75,"0.75"
"106",4,3,"E3",0.07185223,0.25,"0.25",0.75,"0.75"
"107",5,3,"E3",0.058429182,0.25,"0.25",0.75,"0.75"
"108",6,3,"E3",0.107728086,0.25,"0.25",0.75,"0.75"
"109",1,3,"E4",-0.14663614,0.25,"0.25",0.75,"0.75"
"110",2,3,"E4",0.107006624,0.25,"0.25",0.75,"0.75"
"111",3,3,"E4",0.184330632,0.25,"0.25",0.75,"0.75"
"112",4,3,"E4",0.383906041,0.25,"0.25",0.75,"0.75"
"113",5,3,"E4",0.290219748,0.25,"0.25",0.75,"0.75"
"114",6,3,"E4",0.382279919,0.25,"0.25",0.75,"0.75"
"115",1,3,"E1",-0.214890602,0,"0",0,"0"
"116",2,3,"E1",-0.017456917,0,"0",0,"0"
"117",3,3,"E1",-0.095054269,0,"0",0,"0"
"118",4,3,"E1",-0.039846333,0,"0",0,"0"
"119",5,3,"E1",-0.088406138,0,"0",0,"0"
"120",6,3,"E1",-0.067267427,0,"0",0,"0"
"121",1,3,"E2",0.023531235,0,"0",0,"0"
"122",2,3,"E2",-0.090373796,0,"0",0,"0"
"123",3,3,"E2",-0.087084137,0,"0",0,"0"
"124",4,3,"E2",-0.293002084,0,"0",0,"0"
"125",5,3,"E2",-0.202832242,0,"0",0,"0"
"126",6,3,"E2",-0.277214117,0,"0",0,"0"
"127",1,3,"E3",0.027740547,0,"0",0,"0"
"128",2,3,"E3",-0.086620237,0,"0",0,"0"
"129",3,3,"E3",-0.087292993,0,"0",0,"0"
"130",4,3,"E3",-0.119208093,0,"0",0,"0"
"131",5,3,"E3",-0.223651416,0,"0",0,"0"
"132",6,3,"E3",-0.099643752,0,"0",0,"0"
"133",1,3,"E4",0.05200642,0,"0",0,"0"
"134",2,3,"E4",0.192828545,0,"0",0,"0"
"135",3,3,"E4",0.08578528,0,"0",0,"0"
"136",4,3,"E4",-0.031547428,0,"0",0,"0"
"137",5,3,"E4",0.050640297,0,"0",0,"0"
"138",6,3,"E4",0.077542946,0,"0",0,"0"
"139",1,3,"E5",0.315674562,0,"0",0,"0"
"140",2,3,"E5",0.096283284,0,"0",0,"0"
"141",3,3,"E5",-0.005927462,0,"0",0,"0"
"142",4,3,"E5",-0.010383811,0,"0",0,"0"
"143",5,3,"E5",-0.063394506,0,"0",0,"0"
"144",6,3,"E5",-0.007195605,0,"0",0,"0"
