"","event","mag","station","dist","accel"
"1",1,7,"117",12,0.359
"2",2,7.4,"1083",148,0.014
"12",3,5.3,"1117",8,0.127
"13",4,6.1,"1438",16.1,0.411
"22",5,6.6,"270",105,0.018
"33",6,5.6,"1093",62,0.005
"34",7,5.7,"1093",62,0.003
"35",8,5.3,"111",19,0.086
"40",9,6.6,"128",17,0.374
"62",10,5.3,"1028",31,0.03
"63",11,7.7,"2714",45,0.11
"66",12,6.2,"3501",5,0.39
"67",13,5.6,"655",50,0.031
"69",14,5.2,"1032",17,0.011
"73",15,6,"1051",8,0.11
"77",16,5.1,"283",2.9,0.21
"80",17,7.6,"2734",25.4,0.16
"83",18,5.8,"1413",1.2,0.42
"94",19,6.5,NA,23.5,0.17
"132",20,5,"5055",7.5,0.264
"148",21,5.8,"1030",10.8,0.12
"155",22,5.5,NA,4,0.259
"165",23,5.3,"5045",5.8,0.123
